Team,Record,Player,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
ST. JOSEPH AUTOS,7-1,Decker,33,8,12,1,0,0,2,2,7,9,0,0,0.364
ST. JOSEPH AUTOS,7-1,Snyder,28,6,10,4,1,0,0,0,7,9,0,1,0.357
ST. JOSEPH AUTOS,7-1,Tucker,30,6,10,3,0,0,0,1,7,60,0,1,0.333
ST. JOSEPH AUTOS,7-1,Todhunter,28,6,9,3,0,0,1,1,4,12,18,2,0.321
ST. JOSEPH AUTOS,7-1,Henshaw,13,4,4,0,0,0,0,0,2,4,0,0,0.308
ST. JOSEPH AUTOS,7-1,Kovach,31,5,9,0,0,0,1,0,2,9,0,0,0.29
ST. JOSEPH AUTOS,7-1,McCoy,28,8,7,2,1,0,0,2,8,14,24,3,0.25
ST. JOSEPH AUTOS,7-1,Austin,28,7,6,1,1,0,0,1,5,3,16,3,0.214
ST. JOSEPH AUTOS,7-1,Tighe,24,8,5,1,0,0,0,2,4,83,3,2,0.208
ST. JOSEPH AUTOS,7-1,Piechota,9,0,1,0,0,0,0,1,0,0,9,0,0.111
ST. JOSEPH AUTOS,7-1,Rudolph,3,0,0,0,0,0,0,0,0,0,1,0,0.0
ST. JOSEPH AUTOS,7-1,Nordquist,3,0,0,0,0,0,0,0,0,0,0,0,0.0
ST. JOSEPH AUTOS,7-1,Kirchoff,2,1,0,0,0,0,0,0,0,3,0,0,0.0
ST. JOSEPH AUTOS,7-1,Bukovich,1,0,0,0,0,0,0,0,0,0,0,0,0.0
CARMICHAEL FIREMEN,6-2,Lollis,12,4,5,1,1,0,0,0,2,1,3,0,0.417
CARMICHAEL FIREMEN,6-2,Dufour,32,7,11,1,1,0,0,1,6,13,21,2,0.344
CARMICHAEL FIREMEN,6-2,Hanscom,32,9,11,1,1,0,0,0,3,76,2,2,0.344
CARMICHAEL FIREMEN,6-2,Smith,29,4,10,1,0,0,5,3,5,16,1,1,0.345
CARMICHAEL FIREMEN,6-2,Torchia,3,0,1,0,0,0,0,0,0,1,0,0,0.333
CARMICHAEL FIREMEN,6-2,Androvich,29,3,9,2,1,0,2,2,5,14,22,7,0.31
CARMICHAEL FIREMEN,6-2,Perry,12,3,3,0,0,0,1,0,3,10,4,3,0.25
CARMICHAEL FIREMEN,6-2,Roderick,4,0,1,0,0,0,0,1,0,1,5,1,0.25
CARMICHAEL FIREMEN,6-2,Quadros,21,3,5,1,0,0,0,0,2,40,1,0,0.238
CARMICHAEL FIREMEN,6-2,Zutz,29,3,6,0,1,0,3,0,4,15,2,1,0.207
CARMICHAEL FIREMEN,6-2,Dutra,31,4,5,1,0,0,1,0,3,13,1,0,0.161
CARMICHAEL FIREMEN,6-2,Davey,8,0,1,0,0,0,0,0,1,1,6,0,0.125
CARMICHAEL FIREMEN,6-2,Parino,27,6,3,1,0,0,1,1,1,15,27,2,0.111
CARMICHAEL FIREMEN,6-2,Rico,1,0,0,0,0,0,0,0,1,0,0,0,0.0
CARMICHAEL FIREMEN,6-2,Enos,0,0,0,0,0,0,0,0,0,0,0,0,0.0
WACO DONS,6-2,Godfrey,2,0,1,0,0,0,0,1,0,0,4,1,0.5
WACO DONS,6-2,Russell,23,3,8,3,0,0,1,0,3,7,0,0,0.348
WACO DONS,6-2,Redding,26,10,9,0,0,4,0,3,10,26,2,0,0.346
WACO DONS,6-2,Morrow,30,5,10,1,0,0,1,0,6,93,0,1,0.333
WACO DONS,6-2,Hillin,9,0,3,0,0,0,0,1,1,0,4,1,0.333
WACO DONS,6-2,Zomlefer,26,8,8,1,0,0,1,3,7,5,23,2,0.308
WACO DONS,6-2,Deaton,13,8,4,0,0,0,0,1,0,29,7,3,0.308
WACO DONS,6-2,Pfeil,30,3,8,0,2,0,1,1,7,11,1,0,0.267
WACO DONS,6-2,Gilmore,31,7,8,2,2,0,1,0,8,11,1,0,0.258
WACO DONS,6-2,Avera,4,1,1,1,0,0,0,1,1,0,3,0,0.25
WACO DONS,6-2,Barkley,32,8,7,3,0,0,1,1,6,15,26,4,0.219
WACO DONS,6-2,Bramlett,5,0,1,0,0,0,0,0,0,0,5,0,0.2
WACO DONS,6-2,Chandler,16,1,1,0,1,0,0,0,1,16,0,0,0.063
WACO DONS,6-2,Lindloff,6,0,0,0,0,0,0,0,0,1,0,0,0.0
WACO DONS,6-2,Shearin,2,0,0,0,0,0,0,0,0,0,2,0,0.0
CAMP LEE,5-3,Hoch,29,4,10,0,0,0,1,2,3,1,2,5,0.345
CAMP LEE,5-3,Rogers,34,6,11,0,0,0,3,0,6,2,2,0,0.324
CAMP LEE,5-3,Thomas,35,8,11,0,0,0,2,1,2,10,7,0,0.314
CAMP LEE,5-3,Nelson,33,6,10,1,0,1,0,0,8,72,0,0,0.303
CAMP LEE,5-3,Wiles,29,3,8,1,0,1,0,0,9,78,9,4,0.276
CAMP LEE,5-3,Chakales,15,2,4,0,0,0,0,0,0,3,7,1,0.267
CAMP LEE,5-3,Greengrass,31,6,8,0,2,0,2,0,2,17,2,1,0.258
CAMP LEE,5-3,Leonard,33,8,8,2,0,0,0,0,5,6,26,3,0.242
CAMP LEE,5-3,Hamner,35,7,8,0,1,1,1,0,3,6,17,3,0.229
CAMP LEE,5-3,Kelly,9,2,2,0,0,0,0,1,0,0,0,0,0.222
CAMP LEE,5-3,Laliberte,0,0,0,0,0,0,0,0,0,1,0,0,0.0
CAMP LEE,5-3,Jenkins,2,0,0,0,0,0,0,0,0,0,1,0,0.0
CAMP LEE,5-3,Nees,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PHOENIX THUNDERBIRDS,4-2,Richmond,22,5,10,0,0,0,0,1,1,54,1,0,0.455
PHOENIX THUNDERBIRDS,4-2,L. Wolf,23,4,8,1,0,2,0,1,4,9,0,1,0.348
PHOENIX THUNDERBIRDS,4-2,Wade,23,2,7,2,0,0,1,0,2,3,7,1,0.304
PHOENIX THUNDERBIRDS,4-2,Salazar,22,5,5,0,0,0,0,2,0,10,14,5,0.227
PHOENIX THUNDERBIRDS,4-2,Gee,19,0,4,0,0,0,0,0,4,5,3,1,0.211
PHOENIX THUNDERBIRDS,4-2,Jacobs,21,1,4,1,0,0,0,0,3,16,8,2,0.19
PHOENIX THUNDERBIRDS,4-2,Kellner,12,0,2,0,0,0,0,0,3,42,0,2,0.167
PHOENIX THUNDERBIRDS,4-2,Olea,20,2,3,0,0,0,1,3,1,10,0,0,0.15
PHOENIX THUNDERBIRDS,4-2,Elliott,24,3,3,0,0,1,0,0,2,9,7,0,0.125
PHOENIX THUNDERBIRDS,4-2,Hassey,3,0,0,0,0,0,0,0,0,1,0,0,0.0
PHOENIX THUNDERBIRDS,4-2,Cantrell,6,1,0,0,0,0,0,1,1,2,7,0,0.0
PORTLAND GILBERTS,4-2,Santee,21,10,3,1,0,2,0,0,3,5,1,3,0.476
PORTLAND GILBERTS,4-2,Carlson,8,5,3,1,0,0,0,0,0,31,0,0,0.375
PORTLAND GILBERTS,4-2,D. Kirsch,17,2,6,0,3,0,0,1,2,9,7,0,0.353
PORTLAND GILBERTS,4-2,Richards,6,2,2,1,0,0,1,0,1,3,2,0,0.333
PORTLAND GILBERTS,4-2,Zurcher,21,4,7,1,0,0,0,1,2,5,0,3,0.333
PORTLAND GILBERTS,4-2,Bartle,22,0,6,1,0,0,1,1,4,53,3,2,0.273
PORTLAND GILBERTS,4-2,W. Kirsch,23,3,6,2,0,0,0,0,0,11,24,1,0.261
PORTLAND GILBERTS,4-2,Cohen,19,5,4,1,1,0,0,2,4,6,12,1,0.211
PORTLAND GILBERTS,4-2,Schulze,15,3,3,0,0,0,1,0,0,3,0,2,0.2
PORTLAND GILBERTS,4-2,Sinovich,13,1,2,0,0,0,0,0,2,1,4,3,0.154
PORTLAND GILBERTS,4-2,D. Johnson,13,1,2,0,0,1,0,0,2,0,2,1,0.154
PORTLAND GILBERTS,4-2,Wegner,14,2,1,0,0,0,0,0,0,0,28,1,0.071
PORTLAND GILBERTS,4-2,Saltzman,2,0,0,0,0,0,0,0,0,0,0,0,0.0
PORTLAND GILBERTS,4-2,Sauvain,3,0,0,0,0,0,0,0,0,1,3,1,0.0
JACKSON SANDERS,3-2,Woodward,11,2,4,0,0,0,0,1,1,3,7,0,0.364
JACKSON SANDERS,3-2,Reid,25,5,9,0,0,0,0,1,2,3,11,1,0.36
JACKSON SANDERS,3-2,Bell,23,4,8,0,0,0,1,1,1,3,0,1,0.348
JACKSON SANDERS,3-2,Terrey,9,0,3,0,0,0,0,0,4,1,4,1,0.333
JACKSON SANDERS,3-2,Armstrong,24,5,7,1,0,0,1,1,1,23,10,0,0.292
JACKSON SANDERS,3-2,Smith,18,1,5,0,0,0,2,2,3,34,8,0,0.278
JACKSON SANDERS,3-2,Watts,22,4,6,0,0,0,0,1,3,9,0,0,0.273
JACKSON SANDERS,3-2,LeFolldt,15,3,3,0,0,0,0,0,0,24,14,0,0.2
JACKSON SANDERS,3-2,McLeod,22,3,3,2,0,0,0,0,2,30,4,4,0.136
JACKSON SANDERS,3-2,Carsely,0,0,0,0,0,0,0,0,0,0,1,0,0.0
JACKSON SANDERS,3-2,Collier,0,0,0,0,0,0,0,0,0,0,3,0,0.0
JACKSON SANDERS,3-2,Assaf,3,0,0,0,0,0,0,0,0,0,0,0,0.0
JACKSON SANDERS,3-2,Would,4,0,0,0,0,0,0,0,1,1,1,0,0.0
DENVER M&O,3-2,Bell,19,7,7,0,1,0,1,0,2,21,0,0,0.368
DENVER M&O,3-2,Pister,6,3,2,0,0,0,0,2,1,13,22,1,0.333
DENVER M&O,3-2,Anderson,19,4,6,1,0,0,0,2,1,4,9,1,0.316
DENVER M&O,3-2,Hotton,21,3,6,2,1,0,0,0,4,8,1,0,0.286
DENVER M&O,3-2,Unger,18,5,5,0,0,2,2,0,6,1,4,0,0.278
DENVER M&O,3-2,Ater,23,3,6,0,0,0,2,2,3,10,3,0,0.261
DENVER M&O,3-2,Queen,18,3,4,0,0,0,1,0,3,42,4,0,0.222
DENVER M&O,3-2,Grissom,6,0,1,0,0,0,0,0,2,0,0,4,0.167
DENVER M&O,3-2,Hawkins,22,2,3,0,0,0,1,2,0,8,0,1,0.136
DENVER M&O,3-2,Cairns,10,0,1,0,0,0,0,0,1,26,3,0,0.1
DENVER M&O,3-2,Atkins,7,1,0,0,0,0,0,0,0,0,0,0,0.0
DENVER M&O,3-2,Peterson,0,0,0,0,0,0,0,0,0,3,28,0,0.0
WICHITA BOEING,3-2,Dannels,1,0,1,0,0,0,0,0,0,0,0,0,1.0
WICHITA BOEING,3-2,McFarland,20,7,11,1,0,1,0,0,7,3,7,1,0.55
WICHITA BOEING,3-2,Bilgere,21,7,10,3,0,0,1,0,1,8,12,0,0.476
WICHITA BOEING,3-2,Burtner,16,0,6,0,0,0,0,2,2,9,15,0,0.375
WICHITA BOEING,3-2,Korach,12,2,4,0,1,0,0,0,7,6,3,0,0.333
WICHITA BOEING,3-2,Stone,7,1,2,0,0,0,0,0,1,42,0,3,0.286
WICHITA BOEING,3-2,Walker,18,4,5,0,0,0,0,0,0,40,6,2,0.278
WICHITA BOEING,3-2,Redmond,16,3,4,0,0,0,0,1,3,3,8,1,0.25
WICHITA BOEING,3-2,Meadows,4,2,1,0,0,1,0,0,1,1,0,0,0.25
WICHITA BOEING,3-2,Rice,16,3,1,1,0,0,0,0,3,7,3,1,0.188
WICHITA BOEING,3-2,McNulty,6,0,1,0,0,0,0,0,0,0,7,1,0.167
WICHITA BOEING,3-2,Bednar,6,0,1,0,0,0,0,0,0,0,1,1,0.167
WICHITA BOEING,3-2,Hartman,9,0,1,0,0,0,0,1,0,0,3,4,0.111
WICHITA BOEING,3-2,Thesenga,4,0,0,0,0,0,0,0,0,0,0,0,0.0
WICHITA BOEING,3-2,Mitchell,7,0,0,0,0,0,0,0,0,5,0,5,0.0
NORMAN JAYCEES,3-2,Chyz,2,0,1,0,0,0,0,1,1,0,0,0,0.5
NORMAN JAYCEES,3-2,Goletz,17,4,7,0,2,3,1,1,9,5,0,1,0.412
NORMAN JAYCEES,3-2,Baer,18,3,6,1,0,1,1,0,7,32,2,0,0.333
NORMAN JAYCEES,3-2,Avant,18,1,6,1,2,0,0,2,2,9,0,0,0.333
NORMAN JAYCEES,3-2,Graves,21,6,5,1,0,0,0,1,0,0,6,0,0.238
NORMAN JAYCEES,3-2,Corbett,17,3,4,1,1,0,0,0,2,56,0,0,0.235
NORMAN JAYCEES,3-2,Eubanks,16,1,3,1,0,1,0,0,4,4,18,3,0.188
NORMAN JAYCEES,3-2,Welch,22,1,4,0,0,0,0,2,2,9,7,1,0.182
NORMAN JAYCEES,3-2,Bass,6,2,1,0,0,0,1,0,0,0,5,2,0.167
NORMAN JAYCEES,3-2,Smith,15,2,2,1,0,0,3,2,1,11,19,2,0.133
NORMAN JAYCEES,3-2,Delaporte,1,0,0,0,0,0,0,1,0,0,0,0,0.0
NORMAN JAYCEES,3-2,Sellers,1,0,0,0,0,0,0,0,0,0,1,0,0.0
NORMAN JAYCEES,3-2,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0.0
NORMAN JAYCEES,3-2,Tomlinson,4,1,0,0,0,0,0,1,0,0,1,0,0.0
NORMAN JAYCEES,3-2,Watkins,4,1,0,0,0,0,0,0,1,0,2,0,0.0
FT. SMITH EDWARDS,2-2,Pogue,1,0,1,0,0,0,0,0,0,1,0,0,1.0
FT. SMITH EDWARDS,2-2,Kistler,6,1,3,0,0,0,0,0,1,1,3,0,0.5
FT. SMITH EDWARDS,2-2,Edwards,6,2,2,0,0,0,0,0,2,2,2,1,0.333
FT. SMITH EDWARDS,2-2,C. Bates,13,1,4,2,0,0,0,0,1,9,5,1,0.308
FT. SMITH EDWARDS,2-2,Brown,15,2,4,0,0,0,1,1,3,9,8,3,0.267
FT. SMITH EDWARDS,2-2,Liberte,15,4,3,0,0,1,1,0,3,3,1,3,0.2
FT. SMITH EDWARDS,2-2,Cialone,15,1,4,0,0,0,0,3,3,3,1,0,0.267
FT. SMITH EDWARDS,2-2,B. Bates,12,3,3,0,0,1,0,3,3,5,0,0,0.25
FT. SMITH EDWARDS,2-2,White,16,2,3,0,1,0,0,1,1,8,0,1,0.188
FT. SMITH EDWARDS,2-2,Smith,14,2,2,0,0,0,0,0,4,4,2,0,0.143
FT. SMITH EDWARDS,2-2,Charles,15,2,2,0,0,0,0,0,2,4,5,1,0.133
FT. SMITH EDWARDS,2-2,Pryor,1,0,0,0,0,0,0,0,0,1,4,0,0.0
FT. SMITH EDWARDS,2-2,Thron,0,0,0,0,0,0,0,0,0,1,1,0,0.0
THOMASTON MILLS CUBS,2-2,Cochran,13,2,6,0,0,0,1,0,3,10,0,0,0.462
THOMASTON MILLS CUBS,2-2,Knight,5,0,2,0,0,0,0,0,0,7,3,0,0.4
THOMASTON MILLS CUBS,2-2,Peek,6,4,1,0,0,0,0,0,4,1,3,0,0.167
THOMASTON MILLS CUBS,2-2,C. Parker,12,1,0,0,0,0,0,0,5,3,10,3,0.0
THOMASTON MILLS CUBS,2-2,Rogers,13,4,4,0,0,0,0,0,5,1,1,0,0.308
THOMASTON MILLS CUBS,2-2,Carter,7,3,1,0,0,1,0,0,1,10,0,0,0.143
THOMASTON MILLS CUBS,2-2,Duncan,11,3,2,0,0,0,1,0,2,18,0,1,0.182
THOMASTON MILLS CUBS,2-2,Martin,13,2,2,0,0,0,0,0,1,11,11,1,0.154
THOMASTON MILLS CUBS,2-2,Scott,12,1,0,0,0,0,0,0,1,4,16,0,0.0
THOMASTON MILLS CUBS,2-2,Deal,12,2,0,0,0,0,0,0,0,4,11,4,0.0
THOMASTON MILLS CUBS,2-2,Harpe,7,0,0,0,0,0,0,0,0,0,1,0,0.0
THOMASTON MILLS CUBS,2-2,Karr,1,0,0,0,0,0,0,0,0,0,0,0,0.0
THOMASTON MILLS CUBS,2-2,S. Parker,1,0,0,0,0,0,0,0,0,0,0,0,0.0
JEFFERSONVILLE GIANTS,2-2,Stewart,16,3,0,3,1,1,0,0,6,7,0,2,0.0
JEFFERSONVILLE GIANTS,2-2,Prather,14,3,4,1,0,0,0,0,1,5,1,0,0.286
JEFFERSONVILLE GIANTS,2-2,B. Haddix,16,2,6,0,0,0,0,1,2,5,10,2,0.375
JEFFERSONVILLE GIANTS,2-2,B. Folck,17,5,6,0,0,0,0,2,1,30,1,2,0.353
JEFFERSONVILLE GIANTS,2-2,H. Haddix,5,1,1,0,0,0,0,0,0,1,4,0,0.2
JEFFERSONVILLE GIANTS,2-2,Sprinkle,16,1,3,0,0,0,0,0,3,6,1,0,0.188
JEFFERSONVILLE GIANTS,2-2,G. Folck,16,3,3,0,0,0,0,0,0,26,7,2,0.188
JEFFERSONVILLE GIANTS,2-2,E. Haddix,7,1,1,0,0,0,0,0,0,4,2,0,0.143
JEFFERSONVILLE GIANTS,2-2,H. Smith,15,1,0,0,0,0,0,0,0,6,0,2,0.0
JEFFERSONVILLE GIANTS,2-2,Heskitt,9,1,1,0,0,0,0,0,1,3,2,0,0.111
JEFFERSONVILLE GIANTS,2-2,D. Haddix,5,0,0,0,0,0,0,0,0,0,3,1,0.0
JEFFERSONVILLE GIANTS,2-2,Delaney,3,0,0,0,0,0,0,1,0,0,2,0,0.0
JEFFERSONVILLE GIANTS,2-2,Sharrett,1,0,0,0,0,0,0,0,0,0,0,0,0.0
JEFFERSONVILLE GIANTS,2-2,Allen,1,0,0,0,0,0,0,0,0,1,0,0,0.0
JEFFERSONVILLE GIANTS,2-2,Humphries,5,0,0,0,0,0,0,0,1,0,6,0,0.0
KANSAS CITY BURNETTS,2-2,Consentino,13,5,5,1,0,0,0,0,0,0,2,2,0.385
KANSAS CITY BURNETTS,2-2,House,6,0,2,0,0,0,0,0,1,0,0,0,0.333
KANSAS CITY BURNETTS,2-2,Alford,16,5,5,0,0,0,1,0,1,1,4,0,0.313
KANSAS CITY BURNETTS,2-2,Murphy,17,3,5,1,0,0,0,0,4,3,0,1,0.294
KANSAS CITY BURNETTS,2-2,Miller,15,2,4,0,0,0,0,0,4,4,3,0,0.267
KANSAS CITY BURNETTS,2-2,Hanis,12,4,3,1,0,0,0,0,0,2,8,1,0.25
KANSAS CITY BURNETTS,2-2,Bankead,5,0,1,1,0,0,0,0,0,3,5,1,0.2
KANSAS CITY BURNETTS,2-2,Scruby,7,2,1,0,0,0,0,0,1,1,3,0,0.143
KANSAS CITY BURNETTS,2-2,Howard,13,1,1,1,0,0,0,0,0,16,0,1,0.077
KANSAS CITY BURNETTS,2-2,Jakobe,18,1,1,0,0,0,0,0,2,48,2,4,0.056
KANSAS CITY BURNETTS,2-2,Jones,3,0,0,0,0,0,0,0,0,6,0,0,0.0
KANSAS CITY BURNETTS,2-2,Kitchell,1,0,0,0,0,0,0,0,0,0,0,0,0.0
KANSAS CITY BURNETTS,2-2,Costello,0,0,0,0,0,0,0,0,0,0,0,0,0.0
KANSAS CITY BURNETTS,2-2,Sanderson,1,0,0,0,0,0,0,0,0,0,0,0,0.0
HURLEY MINERS,2-2,Stone,3,0,2,1,0,0,0,0,1,3,4,0,0.667
HURLEY MINERS,2-2,Poteet,2,0,1,0,0,0,0,0,1,0,4,0,0.5
HURLEY MINERS,2-2,Byington,15,0,5,2,0,0,0,0,4,39,1,0,0.333
HURLEY MINERS,2-2,Bates,13,1,4,1,0,0,0,0,2,2,11,0,0.308
HURLEY MINERS,2-2,F. Thornton,7,1,2,0,0,0,0,0,0,0,6,3,0.286
HURLEY MINERS,2-2,B. Thornton,15,0,4,1,0,0,0,0,0,0,8,2,0.267
HURLEY MINERS,2-2,Lucas,4,0,1,0,0,0,0,0,0,0,3,3,0.25
HURLEY MINERS,2-2,Spangler,13,2,3,1,0,0,1,2,0,2,1,3,0.231
HURLEY MINERS,2-2,Archibald,18,3,4,0,1,0,0,0,1,4,2,1,0.222
HURLEY MINERS,2-2,Reeves,14,3,3,0,0,0,0,1,0,10,7,0,0.214
HURLEY MINERS,2-2,Greer,12,2,2,1,0,0,0,0,1,4,0,0,0.167
HURLEY MINERS,2-2,Sessions,11,0,1,0,0,0,0,0,0,20,4,2,0.091
MILWAUKEE NERADS,2-2,Smith,17,5,7,1,0,0,0,0,1,10,8,1,0.412
MILWAUKEE NERADS,2-2,R. Bartkowski,6,1,2,0,0,1,0,0,0,0,1,0,0.333
MILWAUKEE NERADS,2-2,Stencel,16,3,5,2,1,0,0,0,1,4,0,0,0.313
MILWAUKEE NERADS,2-2,G. Foth,13,3,4,0,0,0,1,0,4,3,6,0,0.308
MILWAUKEE NERADS,2-2,Dinnauer,13,1,4,2,0,0,1,0,3,4,2,2,0.308
MILWAUKEE NERADS,2-2,J. Bartkowski,11,1,3,1,0,0,0,1,0,4,4,0,0.273
MILWAUKEE NERADS,2-2,Rome,16,3,4,0,0,0,0,0,2,27,2,3,0.25
MILWAUKEE NERADS,2-2,C. Bartkowski,12,3,3,0,0,0,3,0,2,42,10,1,0.25
MILWAUKEE NERADS,2-2,Karfonta,14,3,3,1,0,0,0,0,1,5,7,0,0.214
MILWAUKEE NERADS,2-2,Mathieson,5,0,1,0,0,0,0,0,0,0,0,3,0.2
