Year,SourcePDF,Team,Pitcher,G,W,L,IP,H,R,ER,BB,SO,WP,HB,Pct
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Alex Aleman,1,0,0,6.0,4,2,2,4,3,2,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Riley Fagan,2,0,0,1.0,1,5,5,5,2,1,1,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Diego Soto,3,0,0,4.0,4,5,5,5,1,1,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Layne Wilkerson,1,0,1,2.1,4,5,5,4,1,1,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Mikey Hearn,2,0,0,1.1,3,3,3,3,0,2,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Ty Smeal,1,0,0,1.1,4,4,4,1,0,0,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Zach Westbrook,1,0,0,0.2,5,4,4,2,0,1,1,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Nathan Bardsley,2,0,1,0.2,2,4,4,2,0,1,2,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Zach Tjelmeland,2,1,0,7.0,8,7,6,3,11,0,1,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Braylon Owens,1,0,1,5.2,9,4,3,1,10,1,1,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,EJ Garcia,3,0,0,7.1,4,0,0,2,6,1,1,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Ryan Bailey,1,1,0,7.1,3,3,1,1,6,1,2,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Daniel Farrow,4,0,0,2.2,1,0,0,1,6,1,0,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,John Gonzales,1,1,0,5.2,4,0,0,3,4,1,1,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Davis Luikart,2,0,0,1.2,3,1,1,2,4,0,0,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Xander Hall,2,0,0,1.2,2,0,0,1,2,0,0,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Christian Okerholm,1,0,1,3.0,3,2,2,4,2,0,2,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Rodrick Black,1,0,0,1.0,0,0,0,0,0,0,0,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Brandon Arvidson,1,0,0,1.0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Caleb Heuertz,2,1,0,9.2,4,1,1,4,12,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Justin Webster,2,1,1,8.2,7,7,5,4,5,1,4,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Bryce McCain,3,0,0,4.1,5,3,3,7,5,2,1,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Paul Rector,1,0,0,2.0,1,3,2,4,4,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Jalen Johnston,2,0,1,3.0,3,6,5,7,3,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Brandon Manaska,2,1,0,4.2,2,1,1,1,2,2,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Taylor Pendley,2,0,0,3.0,5,2,2,3,2,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Anthony Nelson,1,0,0,4.0,6,4,4,2,2,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Daniel Roberts,1,0,0,0.2,0,2,2,4,2,0,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Zachary Rowley,2,0,1,2.2,9,10,10,5,1,4,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Preston Newberry,1,0,0,0.2,2,1,0,0,0,0,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Juhlien Gonzalez,2,0,0,1.0,3,2,1,1,0,0,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Chase Pendley,1,0,0,0.1,1,2,1,0,0,0,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Jason Gonzales,1,0,0,0.2,6,6,4,0,0,0,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Roe Forrest,1,0,0,0.0,3,4,4,1,0,2,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Case Pettis,1,0,0,0.0,1,4,4,2,0,2,1,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,Austin Wagner,2,1,1,12.0,6,3,3,3,19,0,0,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,Liam Hohenstein,2,1,0,7.1,5,4,2,4,5,1,2,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,JT Peloquin,3,0,0,5.2,4,4,0,4,4,1,0,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,Brian Walters,1,1,0,5.0,5,1,1,3,4,2,0,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,Mike Bathauer,1,0,0,1.0,1,0,0,0,2,0,0,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,Will Brassil,1,0,0,1.0,0,0,0,0,2,0,0,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,David Stuart,1,0,1,3.2,9,4,3,3,2,0,0,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,Walker Emmons,1,0,0,1.0,0,0,0,0,1,0,0,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,Cooper Latino,1,0,0,1.1,0,1,0,2,0,0,1,
2023,2023_Final_team_stats.pdf,Denver CO Cougars,Augustine Sanchez,1,0,0,1.0,1,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Carson Laws,2,0,1,4.2,7,3,3,3,4,0,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Luke Riggs,2,0,0,3.2,3,2,2,0,2,1,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Dylan Dickert,1,0,0,1.1,0,0,0,0,2,0,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Danny Valadez,1,0,1,2.0,4,5,2,2,2,0,2,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Jacob Hadden,3,0,0,3.0,3,1,1,1,1,0,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Donny Goodes,2,0,0,1.2,0,0,0,0,1,0,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Andrew Prybylla,1,0,0,1.1,1,0,0,0,1,0,1,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Zeke Wood,1,0,0,2.0,1,0,0,1,0,0,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Brandon Mitchell,1,0,0,1.1,1,0,0,0,0,0,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Lino Daniel Rodriguez,1,0,0,0.2,1,1,0,2,0,0,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Jaden Bahl,1,0,0,0.2,3,6,1,3,0,3,0,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Colin Jackson,1,0,0,1.0,2,3,3,2,0,0,1,
2023,2023_Final_team_stats.pdf,GPS Baseball TX Legends,Dylan Capers,2,0,1,0.2,0,3,3,4,0,2,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Chayse Gruber,2,2,0,6.0,1,0,0,1,7,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Kevin Schoneboom,2,0,1,8.0,4,6,3,5,7,0,1,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Tyrus Riley,2,0,0,4.0,4,3,2,2,7,1,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Kyle Winkler,2,0,0,10.0,15,4,4,2,6,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,George Austin,2,0,0,2.0,0,0,0,0,3,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Coleson Syring,1,1,0,2.0,2,1,1,2,3,0,1,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Anthony Treto,1,0,0,2.0,1,0,0,0,2,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Paco Hernandez,1,0,0,1.0,0,0,0,2,1,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Spencer Maley,1,0,0,3.0,1,0,0,1,0,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Tanner Vaughn,1,0,0,1.0,1,0,0,0,0,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Ian Lanik,1,0,0,2.0,4,3,3,3,0,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Bryan Bartels,2,0,1,1.0,4,4,3,2,0,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Baron Lynch,1,0,0,0.0,0,2,2,2,0,0,0,
2023,2023_Final_team_stats.pdf,Great Bend Bat Cats,Jake Wellington,1,0,0,0.0,3,4,4,1,0,1,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Tyler Schott,1,0,0,6.0,3,0,0,2,9,0,1,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Preston Tabor,2,0,0,5.1,9,8,8,1,9,1,0,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Ben Livingston,1,0,1,2.1,3,2,2,4,6,0,3,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Luuk terBeek,1,1,0,5.2,7,1,1,2,5,0,1,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Jett Lodes,2,0,1,4.1,6,5,5,3,5,3,1,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Kaleb Meredith,2,0,0,3.1,3,1,1,0,4,0,0,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Dylan Hill,1,0,0,1.0,0,0,0,1,2,0,0,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Jose Velazquez,1,0,0,1.0,1,0,0,0,2,0,0,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Dayne Pengelly,1,1,0,4.0,7,3,3,0,1,1,2,
2023,2023_Final_team_stats.pdf,Hays KS Larks,Kameron Walton,1,0,0,1.0,0,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Brady Pacha,2,2,0,11.0,6,1,1,1,16,1,0,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Brady Beverman,2,1,0,13.0,9,3,3,4,10,0,1,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Cole Toureau,2,1,0,9.1,9,4,4,4,9,0,0,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Reed Scott,3,1,0,3.2,3,0,0,2,4,0,0,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Derick Johnson,3,0,0,2.1,0,0,0,0,4,0,0,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Brett Black,1,0,0,3.1,9,8,1,2,4,0,0,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Alec Stanfield,2,0,0,3.0,3,2,2,1,3,2,1,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Carson Cornelius,1,0,0,1.0,1,1,1,2,2,1,0,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Noah Kelley,1,0,0,1.0,0,0,0,0,1,0,0,
2023,2023_Final_team_stats.pdf,Hutchinson KS Monarchs,Brady Bell,1,1,0,1.1,0,1,1,2,0,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Conner Woods,2,1,0,7.0,2,0,0,1,6,0,1,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Garrett VanDeventer,1,1,0,7.0,5,1,0,1,5,1,0,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Corbin Talley,1,0,1,5.0,4,2,2,4,5,2,1,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Logan Bartlett,2,0,0,6.0,3,1,1,5,4,0,0,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Ethan Rone,1,0,0,2.0,0,0,0,2,4,0,0,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Cooper Ewing,2,0,0,2.0,1,0,0,0,3,0,0,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Alex Willey,1,0,0,2.0,1,0,0,1,3,0,0,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Jake Shaults,2,0,0,2.0,0,0,0,0,2,0,0,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Carter Swan,1,0,0,1.0,1,1,1,1,1,0,1,
2023,2023_Final_team_stats.pdf,Kansas Cannons,Austin Balmes,1,0,1,0.0,2,5,3,1,0,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Liberal KS Bee Jays,Adrian Najar,2,1,0,5.0,5,4,3,4,6,0,2,
2023,2023_Final_team_stats.pdf,Liberal KS Bee Jays,Tristin Crusenberry,2,0,2,9.2,12,10,7,7,5,2,4,
2023,2023_Final_team_stats.pdf,Liberal KS Bee Jays,Holden Carpenter,1,0,0,5.0,9,4,4,2,4,0,0,
2023,2023_Final_team_stats.pdf,Liberal KS Bee Jays,Tyler Wilcox,2,0,0,5.2,10,5,4,1,2,0,0,
2023,2023_Final_team_stats.pdf,Liberal KS Bee Jays,Kage Ralstin,1,1,0,2.0,3,0,0,2,1,0,1,
2023,2023_Final_team_stats.pdf,Liberal KS Bee Jays,Luke Wilkerson,1,0,0,1.0,0,0,0,1,1,0,1,
2023,2023_Final_team_stats.pdf,Liberal KS Bee Jays,Paul Panduro,1,0,0,0.2,0,0,0,0,1,0,0,
2023,2023_Final_team_stats.pdf,Liberal KS Bee Jays,J. Brooks Kappelmann,1,0,0,0.1,0,0,0,0,0,2,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,OKC OK D-BAT Collegiate All-Stars,Gunner Phillips,2,1,0,9.2,10,8,8,4,7,2,1,
2023,2023_Final_team_stats.pdf,OKC OK D-BAT Collegiate All-Stars,Nate Windle,1,0,0,4.0,4,2,2,3,2,0,1,
2023,2023_Final_team_stats.pdf,OKC OK D-BAT Collegiate All-Stars,Hunter Sills,1,0,1,6.1,5,5,5,8,2,0,1,
2023,2023_Final_team_stats.pdf,OKC OK D-BAT Collegiate All-Stars,Cole Luebbert,1,0,0,1.0,1,0,0,0,2,1,0,
2023,2023_Final_team_stats.pdf,OKC OK D-BAT Collegiate All-Stars,Dakota Briggs,1,0,0,2.0,4,5,3,2,1,0,1,
2023,2023_Final_team_stats.pdf,OKC OK D-BAT Collegiate All-Stars,Preston Easley,1,0,1,1.1,3,4,3,2,0,2,1,
2023,2023_Final_team_stats.pdf,OKC OK D-BAT Collegiate All-Stars,Chad Scheilz,1,0,0,0.1,0,1,1,2,0,0,1,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,SC Blues KS,Russ Smith,2,0,2,8.0,8,4,3,8,4,1,0,
2023,2023_Final_team_stats.pdf,SC Blues KS,Jordan Ellison,1,0,0,2.0,1,0,0,2,4,0,0,
2023,2023_Final_team_stats.pdf,SC Blues KS,Michael Braaten,2,0,0,2.0,2,2,0,0,2,0,0,
2023,2023_Final_team_stats.pdf,SC Blues KS,Landon Haines,1,0,0,2.1,2,1,1,1,2,0,0,
2023,2023_Final_team_stats.pdf,SC Blues KS,Braden Rios,1,0,0,1.0,2,4,4,3,2,1,1,
2023,2023_Final_team_stats.pdf,SC Blues KS,Jack Cary,1,0,0,1.0,0,2,1,2,1,0,0,
2023,2023_Final_team_stats.pdf,SC Blues KS,Shane Holman,1,0,0,3.0,6,3,3,3,0,0,1,
2023,2023_Final_team_stats.pdf,SC Blues KS,Easton Roth,1,0,0,1.0,0,0,0,1,0,0,0,
2023,2023_Final_team_stats.pdf,SC Blues KS,Max White,1,0,0,1.0,1,1,1,2,0,0,0,
2023,2023_Final_team_stats.pdf,SC Blues KS,Tyler Boothe,1,0,1,1.2,8,8,5,1,0,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Cameron Ebert,1,0,0,3.0,1,0,0,2,5,0,1,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Landon Grigg,1,0,1,3.0,6,4,4,2,4,1,0,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Brayden Stanford,1,0,0,3.0,5,4,4,0,3,0,0,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Reed Ronin,1,0,0,3.0,2,4,4,5,3,0,1,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Brett McComas,1,0,1,2.2,2,2,1,2,3,0,0,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Brody Roe,1,0,0,2.0,1,0,0,4,2,1,0,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Mason Pennington,1,0,1,1.1,2,3,3,0,2,0,1,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Logan Tibbett,1,0,0,1.0,2,0,0,0,1,0,0,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Caleb Ebert,1,0,0,2.0,2,1,1,0,1,0,0,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Bauer Brittain,1,0,0,1.1,5,3,3,2,1,0,0,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Jordan Harris,1,0,0,0.1,2,1,1,1,1,1,1,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Wes Strand,1,0,0,1.1,0,0,0,0,0,0,0,
2023,2023_Final_team_stats.pdf,Sandlot Tulsa OK,Gunnar McCullogh,1,0,0,1.0,4,4,4,1,0,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Zane Petty,2,2,0,13.0,5,0,0,2,15,1,1,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Carson Turnquist,2,0,1,8.2,7,4,2,5,15,1,1,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Robert Cranz,2,0,0,7.0,4,2,2,2,14,1,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Ben Bybee,1,1,0,6.0,0,0,0,1,10,0,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Sean Youngerman,3,1,0,5.2,4,2,2,0,6,0,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Nick Proctor,2,0,0,2.0,2,0,0,1,3,0,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Jackson Cloud,1,0,0,2.0,0,0,0,0,2,0,2,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Cole Reeves,1,0,0,1.0,1,1,1,2,2,1,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Conner Woods,1,0,0,1.0,1,0,0,0,1,0,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Jacob Hughes,1,0,0,1.0,1,2,2,2,1,0,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Harold Boyce,1,0,0,1.0,0,0,0,1,0,0,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Hunter Watkins,1,0,0,1.0,1,0,0,0,0,0,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Ruben DelCastillo,1,1,0,1.0,3,1,1,0,0,0,0,
2023,2023_Final_team_stats.pdf,Santa Barbara CA Foresters,Zach Erdman,1,0,0,0.2,2,2,2,0,0,0,1,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Jordan Bryan,2,0,0,3.2,10,10,10,4,5,0,1,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Ian Roemer,1,1,0,7.0,6,2,1,2,3,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Kaden Wetzel,1,0,1,3.0,7,4,3,1,1,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Cody Snow,1,0,0,1.0,2,1,1,1,1,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Jonah Brower,2,0,0,3.0,7,5,5,2,1,0,1,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Josiah O'Bannon,1,0,1,3.0,3,5,5,4,1,1,2,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Kolby Wheadon,2,0,0,2.0,5,6,6,5,1,1,0,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Andrew Mason,1,0,0,1.0,1,0,0,1,0,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Sam Cooper,1,0,1,2.1,3,4,4,5,0,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Andrew Stalnaker,1,0,0,0.0,2,6,6,3,0,1,1,
2023,2023_Final_team_stats.pdf,Seattle WA Blackfins,Tyler Duffey,1,0,0,0.0,2,5,5,1,0,0,2,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Sam Hellinger,1,0,0,6.0,7,3,3,3,7,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Jacob Bradley,1,1,0,8.1,6,1,1,3,4,1,1,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Kalen Gonzales,1,0,0,1.0,0,0,0,0,3,2,0,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Sean Callegari,1,1,0,8.0,7,2,2,1,2,0,1,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Brice Foster,3,1,1,6.2,4,3,3,3,2,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Carter Berry,2,0,0,4.0,4,0,0,0,1,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Cameron Hale,2,0,0,1.2,2,0,0,0,1,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Ayden Ruminski,2,0,0,2.0,4,2,1,1,1,0,0,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Tegan Aden,1,0,0,1.0,0,2,0,2,0,0,1,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,PJ Moritz,2,0,1,1.1,2,1,1,1,0,0,2,
2023,2023_Final_team_stats.pdf,Seattle WA Cheney Studs,Drake Anderson,2,0,0,2.0,4,2,2,0,0,0,0,
